ADDON_ZEE_COMM,NA1,CISCO
ADDON_STAR_SPOR1_3M,Star_Sports,CISCO
ADDON_STAR_SPOR2_3M,Star_Sports_2,CISCO
ADDON_STAR_SPOR3_3M,Star_Cricket,CISCO
ADDON_STAR_SPOR4_3M,ESPN,CISCO
ADDON_STAR_SPORTS_HD,NA1,CISCO
ADDON_VIACOM_COMM,Viacom_Comrcl,CISCO
ADDON_STAR_SPOR1_KOL_3M,Star_Sports,CISCO
ADDON_STAR_SPOR2_KOL_3M,Star_Sports_2,CISCO
ADDON_STAR_CRIC3_KOL_3M,Star_Cricket,CISCO
ADDON_STAR_ESPN4_KOL_3M,ESPN,CISCO
ALC_24_BINO,NA1,CISCO
ALC_24_MOV,NA1,CISCO
ALC_24_MUS,NA1,CISCO
ALC_4R_NEWS,NA1,CISCO
ALC_7SEA_CHA,7_Sea,CISCO
ALC_AAK_AAT,NA1,CISCO
ALC_AIR_ASSM,NA1,CISCO
ALC_AIR_BANG,NA1,CISCO
ALC_AIR_HIN,NA1,CISCO
ALC_AIR_KANN,NA1,CISCO
ALC_AIR_MAL,NA1,CISCO
ALC_AIR_NWEST,NA1,CISCO
ALC_AIR_ORIYA,NA1,CISCO
ALC_AIR_PUN,NA1,CISCO
ALC_AIR_RAG,NA1,CISCO
ALC_AIR_TAM,NA1,CISCO
ALC_AIR_TEL,NA1,CISCO
ALC_AIR_URDU,NA1,CISCO
ALC_AIR_VBS,NA1,CISCO
ALC_AKSHY_TV,NA1,CISCO
ALC_ALNKR_TV,NA1,CISCO
ALC_AMN,NA1,CISCO
ALC_ANDRA_JYO,NA1,CISCO
ALC_ANUG,NA1,CISCO
ALC_AP9,NA1,CISCO
ALC_ARAD,NA1,CISCO
ALC_ASEER_TV,NA1,CISCO
ALC_AZAD_NEWS,NA1,CISCO
ALC_BAIS_TV,NA1,CISCO
ALC_BANSL_NEWS,NA1,CISCO
ALC_BHAK_TV,NA1,CISCO
ALC_BIBL_TV,NA1,CISCO
ALC_BIZ_NEWS,NA1,CISCO
ALC_BLC,NA1,CISCO
ALC_BSL,NA1,CISCO
ALC_BTV,NA1,CISCO
ALC_CALV_TV,NA1,CISCO
ALC_CAPT_TV,NA1,CISCO
ALC_CCTV_NEWS,NA1,CISCO
ALC_CHANL_10,NA1,CISCO
ALC_CHANL_VIS,NA1,CISCO
ALC_CHITRM,NA1,CISCO
ALC_C_MUS,NA1,CISCO
ALC_C_MYS,NA1,CISCO
ALC_CTVN,NA1,CISCO
ALC_CVR_NEWS,NA1,CISCO
ALC_CVR_SPIR,NA1,CISCO
ALC_DARSHN_TV,NA1,CISCO
ALC_DAY_NIGHT,NA1,CISCO
ALC_DHAML,NA1,CISCO
ALC_DHARSN,NA1,CISCO
