#MAIN_PLAN,ADDITIONAL_PLAN,PKG_TYPE
EAST BASIC SERVICE TIER PP 12M,EAST ADDITIONAL BASIC SERVICE TIER PP 12M,0
EAST BASIC SERVICE TIER PP 1M,EAST ADDITIONAL BASIC SERVICE TIER PP 1M,0
EAST BASIC SERVICE TIER PP 3M,EAST ADDITIONAL BASIC SERVICE TIER PP 3M,0
EAST BASIC SERVICE TIER PP 6M,EAST ADDITIONAL BASIC SERVICE TIER PP 6M,0
EAST BASIC SERVICE TIER SP 12M,EAST ADDITIONAL BASIC SERVICE TIER SP 12M,0
EAST BASIC SERVICE TIER SP 1M,EAST ADDITIONAL BASIC SERVICE TIER SP 1M,0
EAST BASIC SERVICE TIER SP 3M,EAST ADDITIONAL BASIC SERVICE TIER SP 3M,0
EAST BASIC SERVICE TIER SP 6M,EAST ADDITIONAL BASIC SERVICE TIER SP 6M,0
EAST DIGITAL POPULAR PACKAGE,EAST ADDITIONAL DIGITAL POPULAR PACKAGE,0
EAST DIGITAL POPULAR PACKAGE ADV,EAST ADDITIONAL DIGITAL POPULAR PACKAGE ADV,0
EAST DIGITAL PREMIUM PACKAGE,EAST ADDITIONAL DIGITAL PREMIUM PACKAGE,0
EAST DIGITAL PREMIUM PACKAGE ADV,EAST ADDITIONAL DIGITAL PREMIUM PACKAGE ADV,0
EAST DIGITAL STARTER PACKAGE,EAST ADDITIONAL DIGITAL STARTER PACKAGE,0
EAST DIGITAL STARTER PACKAGE ADV,EAST ADDITIONAL DIGITAL STARTER PACKAGE ADV,0
EAST PRIME PP 12M,EAST ADDITIONAL PRIME PP 12M,0
EAST PRIME PP 1M,EAST ADDITIONAL PRIME PP 1M,0
EAST PRIME PP 3M,EAST ADDITIONAL PRIME PP 3M,0
EAST PRIME PP 6M,EAST ADDITIONAL PRIME PP 6M,0
EAST PRIME SP 12M,EAST ADDITIONAL PRIME SP 12M,0
EAST PRIME SP 1M,EAST ADDITIONAL PRIME SP 1M,0
EAST PRIME SP 3M,EAST ADDITIONAL PRIME SP 3M,0
EAST PRIME SP 6M,EAST ADDITIONAL PRIME SP 6M,0
EAST ROYAL HD PP 12M,EAST ADDITIONAL ROYAL HD PP 12M,0
EAST ROYAL HD PP 1M,EAST ADDITIONAL ROYAL HD PP 1M,0
EAST ROYAL HD PP 3M,EAST ADDITIONAL ROYAL HD PP 3M,0
EAST ROYAL HD PP 6M,EAST ADDITIONAL ROYAL HD PP 6M,0
EAST ROYAL HD SP 12M,EAST ADDITIONAL ROYAL HD SP 12M,0
EAST ROYAL HD SP 1M,EAST ADDITIONAL ROYAL HD SP 1M,0
EAST ROYAL HD SP 3M,EAST ADDITIONAL ROYAL HD SP 3M,0
EAST ROYAL HD SP 6M,EAST ADDITIONAL ROYAL HD SP 6M,0
EAST ROYAL PP 12M,EAST ADDITIONAL ROYAL PP 12M,0
EAST ROYAL PP 1M,EAST ADDITIONAL ROYAL PP 1M,0
EAST ROYAL PP 3M,EAST ADDITIONAL ROYAL PP 3M,0
EAST ROYAL PP 6M,EAST ADDITIONAL ROYAL PP 6M,0
EAST ROYAL SP 12M,EAST ADDITIONAL ROYAL SP 12M,0
EAST ROYAL SP 1M,EAST ADDITIONAL ROYAL SP 1M,0
EAST ROYAL SP 3M,EAST ADDITIONAL ROYAL SP 3M,0
EAST ROYAL SP 6M,EAST ADDITIONAL ROYAL SP 6M,0
HYDERABAD DIAMOND PACKAGE,HYDERABAD ADDITIONAL DIAMOND PACKAGE,0
HYDERABAD DIAMOND PACKAGE ADV,HYDERABAD ADDITIONAL DIAMOND PACKAGE ADV,0
HYDERABAD GOLD PACKAGE,HYDERABAD ADDITIONAL GOLD PACKAGE,0
HYDERABAD GOLD PACKAGE ADV,HYDERABAD ADDITIONAL GOLD PACKAGE ADV,0
HYDERABAD JANATA PACKAGE,HYDERABAD ADDITIONAL JANATA PACKAGE,0
HYDERABAD JANATA PACKAGE ADV,HYDERABAD ADDITIONAL JANATA PACKAGE ADV,0
HYDERABAD PRIME PP 12M,HYDERABAD ADDITIONAL PRIME PP 12M,0
HYDERABAD PRIME PP 1M,HYDERABAD ADDITIONAL PRIME PP 1M,0
HYDERABAD PRIME PP 3M,HYDERABAD ADDITIONAL PRIME PP 3M,0
HYDERABAD PRIME PP 6M,HYDERABAD ADDITIONAL PRIME PP 6M,0
HYDERABAD PRIME SP 1M,HYDERABAD ADDITIONAL PRIME SP 1M,0
HYDERABAD ROYAL HD PP 12M,HYDERABAD ADDITIONAL ROYAL HD PP 12M,0
HYDERABAD ROYAL HD PP 1M,HYDERABAD ADDITIONAL ROYAL HD PP 1M,0
HYDERABAD ROYAL HD PP 3M,HYDERABAD ADDITIONAL ROYAL HD PP 3M,0
HYDERABAD ROYAL HD PP 6M,HYDERABAD ADDITIONAL ROYAL HD PP 6M,0
HYDERABAD ROYAL PP 12M,HYDERABAD ADDITIONAL ROYAL PP 12M,0
HYDERABAD ROYAL PP 1M,HYDERABAD ADDITIONAL ROYAL PP 1M,0
HYDERABAD ROYAL PP 3M,HYDERABAD ADDITIONAL ROYAL PP 3M,0
HYDERABAD ROYAL PP 6M,HYDERABAD ADDITIONAL ROYAL PP 6M,0
HYDERABAD ROYAL SP 1M,HYDERABAD ADDITIONAL ROYAL SP 1M,0
JAIPUR DIGITAL POPULAR PACKAGE,JAIPUR ADDITIONAL DIGITAL POPULAR PACKAGE,0
