ALC_STAR_PLUS,Star_Plus,CISCO
ALC_STAR_GOLD,Star_Gold,CISCO
ALC_STAR_MOVI,Star_Movies,CISCO
ALC_STAR_WORL,Star_World,CISCO
ALC_NATGEO,NGC,CISCO
ALC_FOX_TRAV,Fox_Traveller,CISCO
ALC_CHAN_V,Channel_V,CISCO
ALC_STAR_VIJY,Star_Vijaya,CISCO
ALC_FOX_CRI,Fox_Crime,CISCO
ALC_NATG_WILD,Nat_Geo_Wild,CISCO
ALC_LIFOK,Life_OK,CISCO
ALC_FX,FX,CISCO
ALC_NATG_ADV1,Nat_Geo_Adv,CISCO
ALC_NATG_MUSC,Nat_Geo_Music,CISCO
ALC_BABY,Baby_TV,CISCO
ALC_STAR_JALS,Star_Jalsa,CISCO
ALC_STAR_PRAV,Star_Pravah,CISCO
ALC_ASIA_SUVR,Asianet_Suvarna,CISCO
ALC_ASIA_NET,Asianet,CISCO
ALC_ASIA_PLUS,Asianet_Plus,CISCO
ALC_MOV_OK,Movies_OK,CISCO
ALC_STAR_MOVAC,Fox_Action_Movies,CISCO
ALC_STAR_SPOR1,Star_Sports,CISCO
ALC_STAR_SPOR2,Star_Sports_2,CISCO
ALC_STAR_CRIC,Star_Cricket,CISCO
ALC_STAR_ESPN,ESPN,CISCO
ALC_STAR_UTSV,Star_Utsav,CISCO
ALC_STAR_JALMO,Jalsha_Movies,CISCO
ALC_ASIA_MOV,Asianet_Movies,CISCO
ALC_SUR_PLUS,Suvarna_Plus,CISCO
